27.26,58.86,bar
25.48,68.40,bar
28.22,65.31,bar
56.82,39.12,baz
17.13,75.09,bar
20.78,78.27,foo
28.17,65.49,bar
39.43,64.37,baz
47.61,56.18,baz
27.10,59.38,bar
11.93,67.78,bar
24.26,75.99,foo
3.60,71.26,foo
17.07,67.65,foo
15.99,73.90,foo
24.12,66.22,bar
28.26,89.27,foo
23.75,61.14,bar
51.54,56.25,baz
20.38,75.51,bar
45.23,38.17,baz
31.02,62.07,bar
39.73,46.37,baz
18.40,81.19,foo
49.96,49.42,baz
26.87,68.27,foo
52.23,57.95,baz
14.80,75.07,foo
5.30,81.62,foo
24.33,59.93,bar
16.93,64.59,foo
13.87,78.66,foo
12.19,81.12,foo
36.28,64.52,bar
17.57,72.27,foo
37.88,44.48,baz
28.49,74.03,bar
11.58,69.29,foo
13.74,66.29,foo
27.06,57.54,bar
7.29,71.14,foo
6.40,66.13,foo
23.93,55.49,bar
42.39,45.93,baz
51.96,37.36,baz
12.95,76.66,foo
39.77,51.13,baz
9.61,63.60,foo
21.84,70.50,bar
27.84,60.62,bar
14.24,83.47,foo
44.65,61.37,baz
44.72,47.99,baz
45.87,48.06,baz
30.32,63.75,bar
19.16,83.86,foo
15.40,72.65,foo
41.97,58.51,baz
45.17,47.32,baz
44.37,55.50,baz
48.53,52.58,baz
20.90,55.53,bar
25.41,61.62,bar
49.37,44.79,baz
19.07,55.11,bar
19.87,75.36,foo
26.97,72.47,foo
14.17,68.19,foo
48.86,39.12,baz
32.63,71.96,bar
41.90,55.81,baz
7.70,84.89,foo
19.94,63.70,bar
25.77,58.52,bar
22.14,54.53,bar
17.05,68.69,foo
13.53,67.33,foo
26.37,61.07,bar
39.91,49.13,baz
14.38,84.02,foo
7.28,69.58,foo
24.80,70.63,bar
11.07,78.93,foo
16.81,84.23,foo
52.57,38.14,baz
32.13,58.36,baz
43.44,56.02,baz
48.81,60.15,baz
21.62,60.55,bar
24.84,62.28,bar
24.47,87.57,foo
25.24,81.74,bar
59.34,46.82,baz
10.44,89.32,foo
11.61,59.83,bar
26.53,73.23,bar
44.08,37.69,baz
59.72,46.34,baz
18.88,91.13,foo
10.15,76.20,foo
40.82,56.62,baz
18.85,80.52,foo
21.37,70.95,bar
37.70,45.97,baz
46.39,58.67,baz
51.49,63.53,baz
21.86,74.70,foo
46.81,38.43,baz
9.17,76.85,foo
39.79,42.87,baz
47.97,48.15,baz
12.66,84.39,foo
8.67,69.77,foo
16.89,87.10,foo
52.97,46.98,baz
48.42,48.35,baz
34.27,57.01,bar
45.47,53.33,baz
47.98,48.99,baz
47.64,46.46,baz
28.60,77.69,foo
8.22,83.13,foo
24.35,56.41,bar
45.70,54.37,baz
31.41,63.69,bar
21.93,80.48,foo
18.93,70.66,foo
39.22,33.92,baz
14.70,67.01,foo
25.55,73.74,foo
18.56,68.10,bar
12.23,53.29,bar
10.42,74.72,foo
15.52,83.02,foo
44.26,61.69,bar
20.71,81.02,foo
